Ros Timestamp,latitude,longitude,seaHeight,geoidHeight,positionDilutionOfPrecision,horizontalDilutionOfPrecision,verticalDilutionOfPrecision,magneticVariation,trueCourseOverGround,magneticCourseOverGround,speedOverGround,estimatedHorizontalPosError,estimatedVerticalPosError,estimatedPosError,trueEstVelocity,trueNorthVelocity,upVelocity,gpsQuality,nbSat,gsaModeAuto,fixType,utcHour,utcMin,utcSec,validPosition,utcDay,utcMounth,utcYear,mode,prn0,prn1,prn2,prn3,prn4,prn5,prn6,prn7,prn8,prn9,prn10,prn11
1438174356229881504,48.669037,6.154897,255.100006,46.599998,2.500000,2.300000,1.000000,-1.100000,0.000000,358.899994,0.000000,5.700000,27.500000,28.100000,0.000000,0.000000,0.000000,1,4,1,3,12,52,35,1,29,7,15,65,0,16,21,26,31,0,0,0,0,0,0,0
1438174357225506226,48.669037,6.154900,254.600006,46.599998,2.500000,2.300000,1.000000,-1.100000,0.000000,358.899994,0.000000,5.700000,27.000000,27.600000,0.000000,0.000000,0.000000,1,4,1,3,12,52,36,1,29,7,15,65,0,16,21,26,31,0,0,0,0,0,0,0
1438174358232325690,48.669038,6.154907,253.800003,46.599998,2.500000,2.300000,1.000000,-1.100000,0.000000,358.899994,0.000000,5.700000,26.600000,27.200001,0.000000,0.000000,0.000000,1,4,1,3,12,52,37,1,29,7,15,65,0,16,21,26,31,0,0,0,0,0,0,0
1438174359226175051,48.669038,6.154907,253.300003,46.599998,2.500000,2.300000,1.000000,-1.100000,0.000000,358.899994,0.000000,5.600000,26.200001,26.799999,0.000000,0.000000,0.000000,1,4,1,3,12,52,38,1,29,7,15,65,0,16,21,26,31,0,0,0,0,0,0,0
1438174360220820586,48.669038,6.154910,252.800003,46.599998,2.500000,2.300000,1.000000,-1.100000,0.000000,358.899994,0.000000,5.600000,25.799999,26.400000,0.000000,0.000000,0.000000,1,4,1,3,12,52,39,1,29,7,15,65,0,16,21,26,31,0,0,0,0,0,0,0
1438174361226658059,48.669038,6.154910,252.699997,46.599998,2.500000,2.300000,1.000000,-1.100000,0.000000,358.899994,0.000000,5.600000,25.500000,26.100000,0.000000,0.000000,0.000000,1,4,1,3,12,52,40,1,29,7,15,65,0,16,21,26,31,0,0,0,0,0,0,0
1438174362225418844,48.669038,6.154912,252.300003,46.599998,2.500000,2.300000,1.000000,-1.100000,0.000000,358.899994,0.000000,5.600000,25.200001,25.799999,0.000000,0.000000,0.000000,1,4,1,3,12,52,41,1,29,7,15,65,0,16,21,26,31,0,0,0,0,0,0,0
1438174363232206625,48.669037,6.154915,251.600006,46.599998,2.500000,2.300000,1.000000,-1.100000,0.000000,358.899994,0.000000,5.600000,24.900000,25.500000,0.000000,0.000000,0.000000,1,4,1,3,12,52,42,1,29,7,15,65,0,16,21,26,31,0,0,0,0,0,0,0
1438174364216102879,48.669037,6.154917,251.399994,46.599998,2.500000,2.300000,1.000000,-1.100000,0.000000,358.899994,0.000000,5.600000,24.600000,25.200001,0.000000,0.000000,0.000000,1,4,1,3,12,52,43,1,29,7,15,65,0,16,21,26,31,0,0,0,0,0,0,0
1438174365239830128,48.669035,6.154918,250.600006,46.599998,2.500000,2.300000,1.000000,-1.100000,0.000000,358.899994,0.000000,5.600000,24.400000,25.000000,0.000000,0.000000,0.000000,1,4,1,3,12,52,44,1,29,7,15,65,0,16,21,26,31,0,0,0,0,0,0,0
1438174366228564762,48.669033,6.154920,250.100006,46.599998,2.500000,2.300000,1.000000,-1.100000,0.000000,358.899994,0.000000,5.600000,24.100000,24.799999,0.000000,0.000000,0.000000,1,4,1,3,12,52,45,1,29,7,15,65,0,16,21,26,31,0,0,0,0,0,0,0
1438174367232313763,48.669035,6.154923,249.800003,46.599998,2.500000,2.300000,1.000000,-1.100000,0.000000,358.899994,0.000000,5.500000,23.900000,24.600000,0.000000,0.000000,0.000000,1,4,1,3,12,52,46,1,29,7,15,65,0,16,21,26,31,0,0,0,0,0,0,0
1438174368236191847,48.669035,6.154927,249.399994,46.599998,2.500000,2.300000,1.000000,-1.100000,0.000000,358.899994,0.000000,5.500000,23.799999,24.400000,0.000000,0.000000,0.000000,2,4,1,3,12,52,47,1,29,7,15,68,0,16,21,26,31,0,0,0,0,0,0,0
1438174369240881102,48.669035,6.154930,249.199997,46.599998,2.500000,2.300000,1.000000,-1.100000,0.000000,358.899994,0.000000,5.500000,23.600000,24.200001,0.000000,0.000000,0.000000,2,4,1,3,12,52,48,1,29,7,15,68,0,16,21,26,31,0,0,0,0,0,0,0
1438174370240666992,48.669033,6.154932,248.800003,46.599998,2.500000,2.300000,1.000000,-1.100000,0.000000,358.899994,0.000000,5.500000,23.400000,24.100000,0.000000,0.000000,0.000000,2,4,1,3,12,52,49,1,29,7,15,68,0,16,21,26,31,0,0,0,0,0,0,0
1438174371249537002,48.669030,6.154930,248.500000,46.599998,2.500000,2.300000,1.000000,-1.100000,0.000000,358.899994,0.000000,5.500000,23.299999,24.000000,0.000000,0.000000,0.000000,2,4,1,3,12,52,50,1,29,7,15,68,0,16,21,26,31,0,0,0,0,0,0,0
1438174372246384035,48.669030,6.154932,248.199997,46.599998,2.500000,2.300000,1.000000,-1.100000,0.000000,358.899994,0.000000,5.500000,23.200001,23.900000,0.000000,0.000000,0.000000,2,4,1,3,12,52,51,1,29,7,15,68,0,16,21,26,31,0,0,0,0,0,0,0
1438174373240211558,48.669028,6.154933,247.800003,46.599998,2.500000,2.300000,1.000000,-1.100000,0.000000,358.899994,0.000000,5.500000,23.100000,23.700001,0.000000,0.000000,0.000000,2,4,1,3,12,52,52,1,29,7,15,68,0,16,21,26,31,0,0,0,0,0,0,0
1438174374259076848,48.669025,6.154930,247.800003,46.599998,2.500000,2.300000,1.000000,-1.100000,0.000000,358.899994,0.000000,5.600000,23.000000,23.600000,0.000000,0.000000,0.000000,2,4,1,3,12,52,53,1,29,7,15,68,0,16,21,26,31,0,0,0,0,0,0,0
